ciBusinessName,ciFiscalCode,ptBusinessName,ptFiscalCode
Agenzia Territoriale per La Casa del Piemonte Nord,00120490032,Poste Italiane S.P.A.,97103880585
Agenzia Territoriale per La Casa del Piemonte Nord,00120490032,ASSIST SPA,10596000017
Agenzia Territoriale per la casa del Piemonte Sud,00161450069,Intesa Sanpaolo SPA,799960158
Agenzia veneta per i pagamenti - AVEPA,90098670277,Regione del Veneto,80007580279
Agenzia Veneta per L'Innovazione nel Settore Primario - Avisp,92281270287,Maggioli SPA,6188330150
Agenzia Veneta per L'Innovazione nel Settore Primario - Avisp,92281270287,Regione del Veneto,80007580279
Agro Solidale Azienda Territoriale per I Servizi alla Persona,05548710655,APKAPPA S.R.L.,8543640158
AGSM AIM S.P.A,00215120239,Nexi SpA,13212880150
AGSM ENERGIA S.P.A.,02968430237,Nexi SpA,13212880150
AGSM LIGHITING S.R.L.,04147220232,Nexi SpA,13212880150
Aics - Associazione Italiana Cultura e Sport - Comitato Provinciale di Torino APS,97505050019,Regione Piemonte,80087670016
Aiga S.p.A.,01157540087,Novares Spa,12105121003
Aimag Spa,00664670361,E-Fil S.r.l.,3789750100
AIR CAMPANIA S.r.l.,02977850649,Regione Campania,80011990639
AISA Impianti S.p.A,02134160510,Progetti e Soluzioni SPA,6423240727
Albalonga srl,07156011004,E-Fil S.r.l.,3789750100
Albisola Servizi s.r.l.,01553090091,Dedagroup Public Services S.R.L.,1727860221
ALEA Ambiente SpA,04338490404,Advanced Systems S.p.A.,3383350638
ALEA Ambiente SpA,04338490404,Banca Nazionale del Lavoro S.p.A.,9339391006
Alfa S.R.L.,03481930125,Banco BPM Società per Azioni,9722490969
Alfa S.R.L.,03481930125,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
ALFANO ENERGIA S.P.A.,06278561219,KOINE' SRL,1934790971
ALFANO LUCE S.R.L.,06487551217,KOINE' SRL,1934790971
Alia Servizi Ambientali S.P.A.,04855090488,KOINE' SRL,1934790971
Alia Servizi Ambientali S.P.A.,04855090488,Novares Spa,12105121003
Aliseo,02575860990,Regione Liguria,849050109
ALLEANZA LUCE GAS SPA,03386091205,Engineering Ingegneria Informatica SpA,967720285
Alma Mater Studiorum - Universita' di Bologna,80007010376,Lepida Spa,2770891204
Alperia Ecoplus Srl,02413180213,eRemind srl – PMPAY,11311050964
ALPERIA FIBER SRL,02508930217,eRemind srl – PMPAY,11311050964
Alperia Greenpower Srl,02621390216,eRemind srl – PMPAY,11311050964
Alperia Smart Services SRL,01745520211,eRemind srl – PMPAY,11311050964
Alperia Sum S.p.A,03649070269,eRemind srl – PMPAY,11311050964
ALPERIA TRADING SRL,03008510210,eRemind srl – PMPAY,11311050964
ALPI ACQUE SPA,02660800042,Engineering Ingegneria Informatica SpA,967720285
ALTA LANGA SERVIZI SPA (ALSE),02537750040,Engineering Ingegneria Informatica SpA,967720285
Altavita -istituzioni Riunite di Assistenza- I.R.A.,00558060281,Intesa Sanpaolo SPA,799960158
Alto Adige Finance,02797620214,Alto Adige Riscossioni Spa,2805390214
Alto Adige Riscossioni Spa,02805390214,Alto Adige Riscossioni Spa,2805390214
Alto Calore Servizi Spa,00080810641,"Unicredit, Societa' per Azioni",348170101
Alto Casentino,94004090513,ARGO SOFTWARE SRL,838520880
Alto Casentino,94004090513,Ministero dell'istruzione e del merito,80185250588
ALTO TREVIGIANO SERVIZI S.P.A.,04163490263,Poste Italiane S.P.A.,97103880585
Alto Vicentino Ambiente srl,92000020245,Maggioli SPA,6188330150
Altogarda Parcheggi e Mobilita' Srl,01739090221,Provincia Autonoma di Trento,337460224
AM Service srl,03490310715,Dedagroup Public Services S.R.L.,1727860221
